"","date","nox","no","no2","h2s","pm10","co","so2","o3","hcnm","hct","wd","ws"
"218",2009-12-29 23:00:00,235,109,69,1.8,NA,0.7,5,4,NA,NA,318.397625919319,1.84375
"219",2009-12-30 23:00:00,245,115,70,1.5,NA,0.7,5,3,NA,NA,304.503172244364,2.26875
"220",2009-12-31 23:00:00,11,1,10,1,NA,0.3,1,69,NA,NA,307.871281505124,7.2125
"221",2010-01-01 23:00:00,9,1,8,1,NA,0.3,1,63,NA,NA,327.891507611543,2.54375
"222",2010-01-02 23:00:00,110,37,53,1,NA,0.6,2,4,NA,NA,328.948785166441,1.26041666666667
"223",2010-01-03 23:00:00,99,28,57,1,NA,0.4,2,3,NA,NA,67.2542079016774,1.08125
"224",2010-01-04 23:00:00,128,43,63,1.4,NA,0.5,2,2,NA,NA,325.200005221028,1.09791666666667
"225",2010-01-05 23:00:00,110,35,58,1,NA,0.4,2,2,NA,NA,315.988774059962,3.13958333333333
"226",2010-01-06 23:00:00,134,51,58,1,NA,0.7,3,3,NA,NA,357.016357202824,1.3
"227",2010-01-07 23:00:00,142,45,74,1.3,NA,0.4,2,3,NA,NA,309.158110363232,3.03125
"228",2010-01-08 23:00:00,40,4,34,1,NA,0.4,1,33,NA,NA,312.765069457695,3.73958333333333
"229",2010-01-09 23:00:00,22,2,20,1,NA,0.5,1,51,NA,NA,331.87154235043,2.73958333333333
"230",2010-01-10 23:00:00,99,28,57,1,NA,0.5,1,4,NA,NA,316.93868012537,1.9125
"231",2010-01-11 23:00:00,183,79,63,1.7,NA,0.5,4,4,NA,NA,313.472717205818,1.825
"232",2010-01-12 23:00:00,129,40,69,1.3,NA,0.4,3,2,NA,NA,313.794741857864,2.76666666666667
"233",2010-01-13 23:00:00,231,111,62,1.5,NA,0.6,6,3,NA,NA,313.489789495034,2.96666666666667
"234",2010-01-14 23:00:00,24,2,20,1,NA,0.2,1,58,NA,NA,317.407959549073,2.16458333333333
"235",2010-01-15 23:00:00,198,87,65,1.5,NA,0.5,4,3,NA,NA,315.350387759815,1.80416666666667
"236",2010-01-16 23:00:00,147,48,75,1.2,NA,0.5,4,3,NA,NA,68.186641845459,1.24375
"237",2010-01-17 23:00:00,186,87,54,2.7,NA,0.9,5,7,NA,NA,113.936848443427,1.23125
"238",2010-01-18 23:00:00,117,35,64,1,NA,0.4,2,3,NA,NA,111.306770760442,1.1625
"239",2010-01-19 23:00:00,185,84,58,1.4,NA,0.5,4,2,NA,NA,86.0431754902529,1.54375
"240",2010-01-20 23:00:00,169,76,52,1.4,NA,0.4,4,3,NA,NA,303.92332347278,1.72916666666667
"241",2010-01-21 23:00:00,153,64,56,1.2,NA,0.4,3,3,NA,NA,319.62562408272,1.84583333333333
"242",2010-01-22 23:00:00,282,138,71,2,NA,0.8,6,3,NA,NA,343.870448770173,1.12916666666667
"243",2010-01-23 23:00:00,145,59,55,1.2,NA,0.7,3,3,NA,NA,22.4248791131881,1.34583333333333
