date;no;no2;nox;so2
2013-01-06;15,5;28,92;52,42;2,75
2013-01-07;38,13;44,46;102,33;5,58
2013-01-08;65,55;53,09;152,91;5,45
2013-01-09;21,0;38,67;70,25;4,04
2013-01-10;56,13;51,75;137,0;4,08
2013-01-11;29,0;51,08;95,04;3,96
2013-01-12;26,75;43,83;84,42;4,04
2013-01-13;14,79;30,88;53,13;2,42
2013-01-14;20,08;39,42;69,75;2,75
2013-01-15;22,42;42,13;76,04;2,38
2013-01-16;47,88;43,42;116,17;3,67
2013-01-17;8,68;34,59;47,41;2,57
2013-01-18;33,71;52,63;103,75;4,67
2013-01-19;35,67;37,83;91,88;2,88
2013-01-20;2,46;22,96;26,46;1,42
2013-01-21;30,96;41,38;88,21;2,79
2013-01-22;34,96;54,71;107,88;3,63
2013-01-23;5,75;29,75;37,92;1,46
2013-01-24;17,08;43,08;68,58;2,04
2013-01-25;8,38;39,75;51,96;3,17
2013-01-26;13,08;41,58;61,54;2,83
2013-01-27;15,21;46,54;69,17;3,29
2013-01-28;25,21;46,92;84,96;2,79
2013-01-29;28,96;55,29;99,21;3,46
2013-01-30;37,88;53,75;111,17;4,13
2013-01-31;27,71;44,88;86,83;4,0
2013-02-01;34,68;43,77;96,32;4,17
2013-02-02;2,21;9,0;11,83;1,54
2013-02-03;1,75;10,71;13,08;1,46
2013-02-04;21,83;40,79;73,67;2,5
2013-02-05;18,17;37,17;64,71;3,25
2013-02-06;3,25;14,92;19,5;1,33
2013-02-07;8,83;30,38;43,33;2,46
2013-02-08;13,13;37,13;56,75;3,33
2013-02-09;13,67;36,58;57,21;2,88
2013-02-10;5,71;27,13;35,63;2,71
2013-02-11;2,5;15,0;18,17;1,78
2013-02-12;6,0;23,78;32,61;1,22
2013-02-13;27,25;43,88;85,21;3,75
2013-02-14;42,25;53,21;117,33;4,88
2013-02-15;26,05;39,55;78,95;3,26
2013-02-16;3,33;21,25;26,08;1,0
2013-02-17;2,17;21,67;24,71;1,46
2013-02-18;38,04;49,58;107,25;3,46
2013-02-19;9,96;33,33;48,17;1,33
2013-02-20;21,5;50,71;83,17;2,25
2013-02-21;23,08;48,17;82,92;3,58
2013-02-22;4,63;35,25;41,96;2,88
