date;co;no;no2;nox;o3;pm10;pm2.5;so2
2013-02-16;0,56;2,46;28,04;31,21;53,75;;;3,25
2013-02-17;0,46;1,83;26,25;28,46;50,79;;;3,25
2013-02-18;0,56;7,67;36,71;48,04;42,25;;;1,96
2013-02-19;0,74;10,0;44,13;58,96;54,83;;;2,25
2013-02-20;0,54;11,42;42,88;60,04;49,0;;;4,42
2013-02-21;0,57;9,54;42,08;56,08;38,88;;;2,46
2013-02-22;0,51;3,21;34,83;39,17;35,21;;;3,17
2013-02-23;0,31;2,38;20,46;23,5;54,75;;;5,88
2013-02-24;0,6;1,54;15,88;17,79;63,83;;;3,83
2013-02-25;0,46;12,71;44,42;63,04;38,33;;;1,79
2013-02-26;1,08;6,0;36,71;45,46;44,63;;;2,96
2013-02-27;0,74;14,76;39,52;61,62;52,33;;;2,27
2013-02-28;0,67;2,58;22,54;25,83;70,75;;;2,29
2013-03-01;0,22;2,67;21,42;24,96;69,54;;;1,75
